Name,IP,ResourceType,Site,WaitTime
ssg5-serial,10.100.3.1,Firewall,HPN,5000
hpn-ssg550-1,10.100.3.11,Firewall,HPN,5000
hpn-ssg550-2,10.100.3.12,Firewall,HPN,5000
HPNKordiaRouter-Fiber,202.58.3.125,Router,HPN,
HPNKordiaRouter-Wireless,202.58.3.126,Router,HPN,
hps-dc1,10.100.100.1,Server,HPN,
hpv-dc1,10.80.100.1,Server,HPV,
hpvfs,10.80.100.30,Server,HPV,
mis-dc02,10.150.0.3,Server,OAP,
hpnexternal-sw1,10.105.1.1,Switch,HPN,2000
hpnexternal-sw2,10.105.1.2,Switch,HPN,2000
hpnadmin-sw1,10.100.150.5,Switch,HPN,4000
hpnbindery-sw1,10.100.150.11,Switch,HPN,2000
hpndespatch-sw1,10.100.150.15,Switch,HPN,2000
hpnmezz-sw1,10.100.150.3,Switch,HPN,7000
hpnpaperstore-sw1,10.100.150.9,Switch,HPN,2000
hpnpressb-sw1,10.100.150.102,Switch,HPN,2000
hpnpressd-sw1,10.100.150.104,Switch,HPN,2000
hpnpresse-sw1,10.100.150.105,Switch,HPN,2000
hpnpressf-sw1,10.100.150.106,Switch,HPN,2000
hpnreelstand-sw1,10.100.150.13,Switch,HPN,2000
hpnsecurity-sw1,10.100.150.7,Switch,HPN,2000
hpncore-sw1,10.100.150.230,CoreSwitch,HPN,4000
Google,www.google.com,Web,WWW,
HannanprintWWW,www.hannanprint.com.au,Web,WWW,
hpnaruba,10.100.201.201,Wireless,HPN,500
